"idproducto","producto","referencia","tipo","idcategoria","estado","url","idmarca","activo","unidad","facturacion","idbodega","cuenta_inv","cuenta_ing","tributo","costo","ingreso","egreso","saldo","codigo","lifo","codigob","tipourl","minimo","cuenta_gas","controlserie","registro","partida","fob","promedio","fifo"
"1218","TERNOS IMPERMEABLES CON CINTA REFLECTIVA (CHOMPA Y PANTALON)","ROPA DE PROTECCION","B","82","S ",,"253",,"Unidad                                            ","N","2","152.38.02.001                 ","-                             ","I","77.8","4","0","4","-                   ","77.8","SD                                                ","1","5","631.54.01","N","0260000680001",,,"77.8",
"1238","BROCA PARA CONCRETO 3/8","-","B","87","S ",,"253",,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","2.8","0","0","0","-                   ","0","SD                                                ","1","5","631.54.01","N","0260000680001",,,"2.8",
"187","EMPAQUES SALIDA DEL MULTIPLE N. 20310-96001","305","B","88","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","3.36","2","0","2","305                 ","3.36","SD                                                ","1","5","631.54.01","N","0260000680001",,,"3.36",
"208","PUMP GP-WTR","328","B","88","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","945.76","1","0","1","328                 ","945.76","-                                                 ","1","5","631.54.01","N","0260000680001",,,"945.76",
"1073","RODILLOS DE 9 PULGADAS PROFESIONAL","ADQUISICION DE MATERIALES DE CONSTRUCCION PARA UTILIZAR EN LOS MERCADOS Y PLAZAS","B","87","S ",,"253",,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","3.25","0","0","0","5293                ","0","SD                                                ","1","1","631.54.01","N","0260000680001",,,"3.25",
"56","CEPILLOS PARA SANITARIOS CON BASE PLASTICA.","1178","B","79","S ","-                                                           ","253",,"Unidad                                            ","N","1","131.01.05.001                 ","-                             ","I","0.95","9","1","8","1178                ","0.95","-                                                 ","1","5","634.08.05","N","0260000680001",,,"0.95",
"1783","CONTROL DMX SUNLITE CONTROL BOX 256 DMX CHANNEL / USB 2.0 ETHERNET PIMCH.","MATERIALES ELÉCTRICOS PARA LA ILUMINACIÓN DE LA IGLESIA MATRIZ DEL CANTÓN CHIMBO.","B","87","S ",,,,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","560","2","0","2","0                   ","500","0                                                 ","1","5","0","N","0260000680001",,,"560",
"1754","SPLITER 4 SALIDAS DMX512","MATERIALES ELÉCTRICOS PARA LA ILUMINACIÓN DE LA IGLESIA MATRIZ DEL CANTÓN CHIMBO.","B","87","S ",,,,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","179.2","2","0","2","0                   ","160","0                                                 ","1","5","0","N","0260000680001",,,"179.2",
"144","FILTRO DE AGUA WF-2022","202","B","88","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","13.44","0","0","0","202                 ","0","-                                                 ","1","5","631.54.01","N","0260000680001",,,"13.44",
"1035","GUANTES LATEX CAJA 100 UNIDADES","ADQUISICION DE PRENDAS DE PROTECCION POR EMERGENCIA","B","82","S ",,"253",,"Unidad                                            ","N","2","152.38.02.001                 ","-                             ","I","14.34","0","0","0","5263                ","0","SD                                                ","1","1","631.54.01","N","0260000680001",,,"14.34",
"1135","LIMPIA CONTACTOS SPRAY","ADQUISICION DE MATERIALES DE CONSTRUCCION PARA UTILIZAR EN LOS MERCADOS Y PLAZAS","B","87","S ",,"253",,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","7.8","0","0","0","5337                ","0","SD                                                ","1","5","631.54.01","N","0260000680001",,,"7.8",
"1002","CAMISA ESTILO EJECUTIVO","CAMISA ESTILO EJECUTIVO","B","78","S ",,"253",,"Unidad                                            ","N","1","131.01.02.001                 ","-                             ","T","18.8","0","0","0","1206                ","0","SD                                                ","1","5","634.08.02","N","0260000680001",,,"18.8",
"1256","LLAVE DE PASO DE 3/4","-","B","87","S ",,"253",,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","6.9","0","0","0","-                   ","0","SD                                                ","1","5","631.54.01","N","0260000680001",,,"6.9",
"29","ESTILETE","1129","B","91","S ","-                                                           ","253",,"Unidad                                            ","N","1","131.01.04.001                 ","-                             ","I","0.41","0","0","0","1129                ","0","SD                                                ","1","5","634.08.04","N","0260000680001",,,"0.41",
"1347","RETENEDORES MANZANA DELANTERA","COMPRA DE REPUESTOS Y LUBRICANTES PARA LOS VEHICULOS Y MAQUINARIA DEL GADMCCH","B","88","S ",,"253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","13.44","0","0","0","1126                ","0","SD                                                ","1","5","631.54.01","N","0260000680001",,,"13.44",
"1405","FILTRO ACEITE 7W 2326","1187","B","88","S ",,"253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","28","0","0","0","1187                ","0","SD                                                ","1","5","631.54.01","N","0260000680001",,,"28",
"80","ALMOADILLAS","0192","B","92","S ","-                                                           ","253",,"Unidad                                            ","N","1","131.01.07.001                 ","-                             ","I","1.68","9","0","9","0192                ","1.68","SD                                                ","1","5","634.08.07","N","0260000680001",,,"1.68",
"96","CINTA PARA IMPRESORA LX300.","0813","B","92","S ","-                                                           ","253",,"Unidad                                            ","N","1","131.01.07.001                 ","-                             ","I","8.55","5","0","5","0813                ","8.55","SD                                                ","1","5","634.08.07","N","0260000680001",,,"8.55",
"166","KIT PERNO TUERCA Y UNETA DELANTERA","266","B","88","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","11.02","57","0","57","266                 ","11.02","-                                                 ","1","5","631.54.01","N","0260000680001",,,"11.02",
"1523","CARDAN DE BOMBAS HIDRAULICAS","PARA EL RECOLECTOR HINO FC","B","88","S ",,"253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","72.8","0","0","0","0                   ","0","0                                                 ","1","5","631.54.01","N","0260000680001",,,"72.8",
"1190","TUN TUN 57GR (3 UNIDADES)","ADQUISICION DE KITS ALIMENTICIOS","B","90","S ",,"253",,"Unidad                                            ","N","2","152.38.21.001                 ","-                             ","T","1.99","0","0","0","5387                ","0","SD                                                ","1","1","631.54.01","N","0260000680001",,,"1.99",
"1715","SEÑALÉTICAS DE 31 X 42 CM DE IMPRESIÓN EN ALTA RESOLUCIÓN EN ADHESIVO, VINILO COLOCADO EN CINTRA DE 3MM DE GROSOR","SEÑALÉTICAS DE 31 X 42 CM DE IMPRESIÓN EN ALTA RESOLUCIÓN EN ADHESIVO, VINILO COLOCADO EN CINTRA DE 3MM DE GROSOR","B","92","S ",,,,"Unidad                                            ","N","16","-                             ","-                             ","-","NaN","17","17","0","0                   ","4","0                                                 ","1","0","0","N","0260000680001",,,"4",
"1742","VARIOS","MATERIALES PARA ILUMINAR EL HALL DE INGRESO AL GAD MUNICIPAL DEL CANTÓN CHIMBO","B","87","S ",,"253",,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","22.4","1","0","1","0                   ","20","0                                                 ","1","5","631.54.01","N","0260000680001",,,"22.4",
"1756","TABLERO DE CONTROL IP55 CON BARRA DE DISTRIBUCIÓN, PROTECCIONES, TEMPORALIZADORES, 6 CIRCUITOS CON PANTALLA HMI PIMCH.","MATERIALES ELÉCTRICOS PARA LA ILUMINACIÓN DE LA IGLESIA MATRIZ DEL CANTÓN CHIMBO.","B","87","S ",,,,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","1956.64","1","0","1","0                   ","1747","0                                                 ","1","5","0","N","0260000680001",,,"1956.64",
"1041","LIMPITO JABON VIRUCIDA GALON","ADQUISICION DE MATERIALES DE ASEO Y FUMIGACION","B","84","S ",,"253",,"Unidad                                            ","N","2","152.38.05.001                 ","-                             ","I","13.44","0","0","0","5268                ","0","SD                                                ","1","1","631.54.01","N","0260000680001",,,"13.44",
"1076","INTERRUPTOR VETO EMPOTRABLE","ADQUISICION DE MATERIALES DE CONSTRUCCION PARA UTILIZAR EN LOS MERCADOS Y PLAZAS","B","87","S ",,"253",,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","2.8","0","0","0","5295                ","0","SD                                                ","1","5","631.54.01","N","0260000680001",,,"2.8",
"1401","SEPARADOR DE AGUA","1184","B","88","S ",,"253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","31.36","0","0","0","1184                ","0","sd                                                ","1","5","631.54.01","N","0260000680001",,,"31.36",
"310","CARBONATO  A.","4661","B","87","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","24.64","3","0","3","4661                ","24.64","-                                                 ","1","5","631.54.01","N","0260000680001",,,"24.64",
"1273","MANGUERA REFORZADA DE 1/2 METRO","-","B","87","S ",,"253",,"Metros                                            ","N","2","152.38.11.001                 ","-                             ","I","0.33","62.5","0","62.5","-                   ","0.33","SD                                                ","1","1","631.54.01","N","0260000680001",,,"0.33",
"41","GRAPAS 23/10 CAJA1000 U..","1147","B","91","S ","-                                                           ","253",,"Unidad                                            ","N","1","131.01.04.001                 ","-                             ","I","0.75","3","0","3","1147                ","0.75","-                                                 ","1","5","634.08.04","N","0260000680001",,,"0.75",
"46","ESFEROGRAFICO AZUL PUNTA FINA..","1161","B","91","S ","-                                                           ","253",,"Unidad                                            ","N","1","131.01.04.001                 ","-                             ","I","0.07","175","37","138","1161                ","0.07","SD                                                ","1","5","634.08.04","N","0260000680001",,,"0.07",
"175","RULIMAN POSTERIOR N. 30311 U EJE EXTERIOR","276","B","88","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","90.72","4","0","4","276                 ","90.72","-                                                 ","1","5","631.54.01","N","0260000680001",,,"90.72",
"325","LLANTAS 11R22.5 148/145L HSR2 SA.","5097","B","88","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","462.39","2","2","0","5097                ","462.39","-                                                 ","1","5","631.54.01","N","0260000680001",,,"462.39",
"1759","CABLE CONCENTRICO 3X12 AWG PIMCH.","MATERIALES ELÉCTRICOS PARA LA ILUMINACIÓN DE LA IGLESIA MATRIZ DEL CANTÓN CHIMBO.","B","87","S ",,,,"Metros                                            ","N","2","152.38.11.001                 ","-                             ","I","2.24","650","0","650","0                   ","2","0                                                 ","1","5","0","N","0260000680001",,,"2.24",
"293","FILTRO DE ACEITE DE MOTOR. RD.","3818","B","88","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","33.32","0","0","0","3818                ","0","-                                                 ","1","5","631.54.01","N","0260000680001",,,"33.32",
"66","FUNDA DE BASURA DOMESTICA AZUL 23PULG X 28 PULX10U.","1190","B","79","S ","-                                                           ","253",,"Unidad                                            ","N","1","131.01.05.001                 ","-                             ","I","0.51","2","1","1","1190                ","0.51","-                                                 ","1","5","634.08.05","N","0260000680001",,,"0.51",
"273","GRASA SPHEEROL EPL-2..","2401","B","85","S ","-                                                           ","253",,"Libras                                            ","N","2","152.38.03.001                 ","-                             ","I","2.35","62","0","62","2401                ","2.35","-                                                 ","1","5","631.54.01","N","0260000680001",,,"2.35",
"1482","CLAVOS DE 2 1/2 PULGADAS","CLAVOS POR LIBRAS","B","87","S ",,"253",,"Libras                                            ","N","2","152.38.11.001                 ","-                             ","I","NaN","7","7","0","0                   ","1.2","SD                                                ","1","1","631.54.01","N","0260000680001",,,"1.34",
"1487","CABLE 4X16 CONCENTRICO 600 V","CABLE CONCENTRICO","B","87","S ",,"253",,"Metros                                            ","N","2","152.38.11.001                 ","-                             ","I","2.24","30","0","30","0                   ","2.24","SD                                                ","1","0","631.54.01","N","0260000680001",,,"2.24",
"1688","FILTRO COMBUSTIBLE RODILLO BOMAG","MANTENIMIENTO RODILLO BOMAG 250 HORAS PROPIEDAD MPAL.","B","88","S ",,"253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","NaN","1","1","0","0                   ","66.24","0                                                 ","1","5","631.54.01","N","0260000680001",,,"74.19",
"39","CUADERNO ESPIRAL PEQUENO CUADROS 100H..","1145","B","91","S ","-                                                           ","253",,"Unidad                                            ","N","1","131.01.04.001                 ","-                             ","I","0.55","6","0","6","1145                ","0.55","SD                                                ","1","5","634.08.04","N","0260000680001",,,"0.55",
"1761","CABLE THHN NO. 6 AWG NEGRO PIMCH.","MATERIALES ELÉCTRICOS PARA LA ILUMINACIÓN DE LA IGLESIA MATRIZ DEL CANTÓN CHIMBO.","B","87","S ",,,,"Metros                                            ","N","2","152.38.11.001                 ","-                             ","I","2.24","50","0","50","0                   ","2","0                                                 ","1","5","0","N","0260000680001",,,"2.24",
"55","CERA PARA PISO DE MADERA GALON UNIDAD.","1177","B","79","S ","-                                                           ","253",,"Unidad                                            ","N","1","131.01.05.001                 ","-                             ","I","10.45","10","0","10","1177                ","10.45","-                                                 ","1","5","634.08.05","N","0260000680001",,,"10.45",
"156","FILTRO DE TRANSMISION PT-8506-MPG","223","B","88","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","168.29","5","0","5","223                 ","168.29","-                                                 ","1","5","631.54.01","N","0260000680001",,,"168.29",
"225","CABLE DEL TACOMETRO N. 25055-90205 TK-20","446","B","88","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","17.92","4","0","4","446                 ","17.92","-                                                 ","1","5","631.54.01","N","0260000680001",,,"17.92",
"1722","SELLOS AUTOMÁTICOS REDONDOS TAMAÑO R40","SELLOS AUTOMÁTICOS REDONDOS TAMAÑO R40","B","91","S ",,"253",,"Unidad                                            ","N","1","131.01.04.001                 ","-                             ","-","18","11","0","11","0                   ","18","0                                                 ","1","0","634.08.04","N","0260000680001",,,"18",
"1496","FOCO DE MERCURIO ALOGENADO DE 250 A 220 V","FOCO DE MERCURIO ALOGENADO DE 250 A 220 V","B","87","S ",,,,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","22.4","4","0","4","0                   ","22.4","0                                                 ","1","0","631.54.01","N","0260000680001",,,"22.4",
"1498","CONTACTOR 220 V","CONTACTOR 220 V","B","87","S ",,,,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","72.8","2","0","2","0                   ","72.8","0                                                 ","1","0","631.54.01","N","0260000680001",,,"72.8",
"1512","TRAPEADOR PLANO DE 30-40 CM","TRAPEADOR PLANO DE 30-40 CM","B","79","S ",,"253",,"Unidad                                            ","N","1","131.01.05.001                 ","-                             ","I","2.56","9","4","5","0                   ","2.56","SD                                                ","1","0","634.08.05","N","0260000680001",,,"2.56",
"1534","MOTOR  DE ARRANQUE CARGADORA CAT 920","FILTROS Y REPUESTOS PARA VEHICULOS Y MAQUINARIA MUNICIPAL","B","88","S ",,"253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","767.2","1","1","0","0                   ","767.2","0                                                 ","1","5","631.54.01","N","0260000680001",,,"767.2",
"1535","EJE DEL CILINDRO DEL LEVANTAMIENTO  CUCHARON PALA 920","FILTROS  Y REPUESTOS PARA VEHICULOS Y MAQUINARIA MUNICIPAL","B","88","S ",,"253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","252","1","1","0","0                   ","252","0                                                 ","1","5","631.54.01","N","0260000680001",,,"252",
"1537","RODELA DEL CILINDRO  DEL LEVANTAMIENTO PALA 920","FILTROS  Y REPUESTOS PARA VEHICULOS Y MAQUINARIA MUNICIPAL","B","88","S ",,"253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","29.12","1","1","0","0                   ","29.12","0                                                 ","1","5","631.54.01","N","0260000680001",,,"29.12",
"85","TONER SANSUNG CLP 315 CYAN","0228","B","92","S ","-                                                           ","253",,"Unidad                                            ","N","1","131.01.07.001                 ","-                             ","I","46","1","0","1","0228                ","46","SD                                                ","1","5","634.08.07","N","0260000680001",,,"46",
"196","RETENEDORES N. 4K-7463","315","B","88","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","5.04","3","0","3","315                 ","5.04","-                                                 ","1","5","631.54.01","N","0260000680001",,,"5.04",
"1270","CAL QUINTAL","-","B","89","S ",,"253",,"Quintal                                           ","N","2","152.38.19.001                 ","-                             ","I","6.8","30","0","30","-                   ","6.8","SD                                                ","1","1","631.54.01","N","0260000680001",,,"6.8",
"15","TINTA PARA ALMOHADILLA Y SELLOS AZUL NEGRA VIOLETA Y ROJO.","1001","B","91","S ","-                                                           ","253",,"Unidad                                            ","N","1","131.01.04.001                 ","-                             ","I","NaN","5","5","0","1001                ","0.32","SD                                                ","1","5","634.08.04","N","0260000680001",,,"0.32",
"25","SENALADORES TIPO BANDERITAS..","1125","B","91","S ","-                                                           ","253",,"Unidad                                            ","N","1","131.01.04.001                 ","-                             ","I","0.25","23","13","10","1125                ","0.25","SD                                                ","1","5","634.08.04","N","0260000680001",,,"0.25",
"20","SEPARADORES PLASTICOS A4 FUNDA 10U.","1022","B","91","S ","-                                                           ","253",,"Unidad                                            ","N","1","131.01.04.001                 ","-                             ","I","0.39","52","23","29","1022                ","0.39","SD                                                ","1","5","634.08.04","N","0260000680001",,,"0.39",
"169","BENDIX","269","B","88","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","430.08","3","0","3","269                 ","430.08","SD                                                ","1","5","631.54.01","N","0260000680001",,,"430.08",
"200","RETENEDOR N. 5J-8225","319","B","88","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","13.44","1","0","1","319                 ","13.44","-                                                 ","1","5","631.54.01","N","0260000680001",,,"13.44",
"235","ESCALERA METALICA DE 6 METROS","892","B","87","S ","-                                                           ","253",,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","371.84","1","0","1","892                 ","371.84","-                                                 ","1","5","631.54.01","N","0260000680001",,,"371.84",
"1180","HERBICIDA DE CONTACTO","ADQUISICION DE HERBICIDAS PARA FUMIGAR MALEZAS","B","89","S ",,"253",,"Unidad                                            ","N","2","152.38.19.001                 ","-                             ","T","14","72","0","72","5379                ","14","SD                                                ","1","5","631.54.01","N","0260000680001",,,"14",
"343","BUZOS TIPO POLO MANGA LARGA","5382","B","82","S ","-                                                           ","291",,"Unidad                                            ","N","2","152.38.02.001                 ","-                             ","I","13.94","0","0","0","5382                ","0","SD                                                ","1","5","631.54.01","N","0260000680001",,,"13.94",
"1010","TREN FIJO","ACCESORIOS VOLQUETA NISSAN TKC-212","B","88","S ",,"253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","1030.4","0","0","0","5236                ","0","SD                                                ","1","1","631.54.01","N","0260000680001",,,"1030.4",
"1033","MASCARILLAS DESECHABLE CON CARBON ACTIVADO N95","ADQUISICION DE PRENDAS DE PROTECCION POR EMERGENCIA","B","82","S ",,"253",,"Unidad                                            ","N","2","152.38.02.001                 ","-                             ","I","14.45","0","0","0","5261                ","0","SD                                                ","1","5","631.54.01","N","0260000680001",,,"14.45",
"1050","TUBOS DE SILICON 1200 ABRO","MATERIALES DE CONSTRUCCION PARA VARIOS DEPARTAMENTOS","B","87","S ",,"253",,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","4.5","0","0","0","5278                ","0","SD                                                ","1","1","631.54.01","N","0260000680001",,,"4.5",
"1090","TORNILLOS 3/4 X 12","ADQUISICION DE MATERIALES DE CONSTRUCCION PARA UTILIZAR EN LOS MERCADOS Y PLAZAS","B","87","S ",,"253",,"Unidad                                            ","N","2","152.38.11.001                 ","-                             ","I","5.8","0","0","0","5306                ","0","SD                                                ","1","5","631.54.01","N","0260000680001",,,"5.8",
"1166","TOOTH-UNI N 1358203","ADQUISICION DE REPUESTOS PARA RETROEXCAVADORA 416E","B","88","S ",,"253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","112.77","0","0","0","5368                ","0","SD                                                ","1","1","631.54.01","N","0260000680001",,,"112.77",
"1288","BOQUILLA PLASTICA","ELECTROMECANICA","B","88","S ",,"253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","-","1","0","0","0","SD                  ","0","SD                                                ","1","5","631.54.01","N","0260000680001",,,"1",
"1408","FILTRO AIRE SECUNDARIO","1187","B","88","S ",,"253",,"Unidad                                            ","N","2","152.38.13.001                 ","-                             ","I","25.76","0","0","0","1187                ","0","sd                                                ","1","5","631.54.01","N","0260000680001",,,"25.76",
