"idproducto","producto","referencia","tipo","idcategoria","estado","url","idmarca","activo","unidad","facturacion","idbodega","cuenta_inv","cuenta_ing","tributo","costo","ingreso","egreso","saldo","codigo","lifo","codigob","tipourl","minimo","cuenta_gas","controlserie","registro","partida","fob","promedio","fifo"
2217,"BOMBA DE ALTA PRESION PUMP GP FUEL","REPUESTOS PARA MANTENIMIENTO DE TRACTOR D6K XL DE PROPIEDAD MUNICIPAL","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","T","4046.170000","1.000000","1.000000","0.000000","No Aplica           ","4046.170000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"4046.170000",NULL
1778,"CONECTOR EMT DE 3/4'","MATERIALES ELÉCTRICOS PARA LA ILUMINACIÓN DE LA IGLESIA MATRIZ DEL CANTÓN CHIMBO.","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","I","0.560000","300.000000","300.000000","0.000000","0                   ","0.500000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"0.560000",NULL
1371,"DEFENSAS 1400-24","1176","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","28.000000","5.000000","5.000000","0.000000","1176                ","28.000000","SD                                                ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"28.000000",NULL
1849,"FILTRO SEPARADOR DE AGUA   RETROEX. CAT. 416-E","REPUESTOS Y ACCESORIOS PARA LA MAQUINARIA Y VEHÍCULOS DEL GADMCCH.","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","31.360000","1.000000","1.000000","0.000000","0                   ","28.000000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"31.360000",NULL
2178,"CONTACTOR 16HP 40A-220V.","COMPRA DE MATERIALES ELECTRICOS PARA LA CALLE GUAYAS Y AVENIDA CIRCUNVALACION.","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","T","26.960000","2.000000","2.000000","0.000000","No Aplica           ","26.960000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"26.960000",NULL
2287,"EMBRAGUE DEL VENTILADOR","REPUESTOS Y ACCESORIOS PARA LA RECTIFICACION DEL CAMION CHEV. NHR DE PROPIEDAD MPAL.","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","T","128.000000","1.000000","1.000000","0.000000","No Aplica           ","128.000000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"128.000000",NULL
1666,"DEFENSA 14X24 MC120KCONSEJOP","DEFENSA 14X24 MC120KCONSEJOP","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","0.000000","0.000000","0.000000","0.000000","0                   ","0.000000","SD                                                ",1,"0","631.54.01","N","0260000680001",NULL,NULL,"0.000000",NULL
2290,"BANDA DE ACCESORIOS CAMION CHEV. NHR","REPUESTOS Y ACCESORIOS PARA LA RECTIFICACION DEL CAMION CHEV. NHR DE PROPIEDAD MPAL.","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","T","22.000000","1.000000","1.000000","0.000000","No Aplica           ","22.000000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"22.000000",NULL
1215,"LLANTAS 15.5-25L3-16PR.","CARGA INICIAL","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","T","728.000000","0.000000","0.000000","0.000000","5218                ","0.000000","SD                                                ",1,"1","631.54.01","N","0260000680001",NULL,NULL,"728.000000",NULL
1412,"ESQUINEROS","1188","B",89,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","0.000000","0.000000","0.000000","0.000000","1188                ","0.000000","SD                                                ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"0.000000",NULL
2141,"GARRUCHAS  GIRATORIAS SIN FRENO","GARRUCHAS GIRATORIAS PARA CONTENEDORES DE DESECHOS SOLIDOS DEL CANTON CHIMBO.","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","T","25.340000","79.000000","79.000000","0.000000","No Aplica           ","25.340000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"25.340000",NULL
2294,"FIJADOR DE PERNOS CAMION CHEV. NHR","REPUESTOS Y ACCESORIOS PARA LA RECTIFICACION DEL CAMION CHEV. NHR DE PROPIEDAD MPAL.","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","T","4.800000","1.000000","1.000000","0.000000","No Aplica           ","4.800000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"4.800000",NULL
1275,"NEPLO DE 1/2 X 10 CM","-","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","I","1.397500","4.000000","4.000000","0.000000","-                   ","1.397500","SD                                                ",1,"1","631.54.01","N","0260000680001",NULL,NULL,"1.397500",NULL
1767,"MANGUERA FLEXIBLE PVC REFORZADA DE 3/4'","MATERIALES ELÉCTRICOS PARA LA ILUMINACIÓN DE LA IGLESIA MATRIZ DEL CANTÓN CHIMBO.","B",87,"S ",NULL,253,NULL,"Metros                                            ","N",2,"152.38.11.001                 ","-                             ","I","0.369600","500.000000","500.000000","0.000000","0                   ","0.330000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"0.369600",NULL
1075,"SIFONES LAVAMANOS ACORDEON","ADQUISICION DE MATERIALES DE CONSTRUCCION PARA UTILIZAR EN LOS MERCADOS Y PLAZAS","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","I","4.245000","0.000000","0.000000","0.000000","5295                ","0.000000","SD                                                ",1,"1","631.54.01","N","0260000680001",NULL,NULL,"4.245000",NULL
1383,"GUIAS DELANTERAS","1178","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","0.000000","0.000000","0.000000","0.000000","1178                ","0.000000","SD                                                ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"0.000000",NULL
1506,"WYPE BLANCO FUNDA","WYPE BLANCO FUNDA","B",85,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.03.001                 ","-                             ","I","1.890000","1.000000","1.000000","0.000000","0                   ","1.890000","0                                                 ",1,"0","631.54.01","N","0260000680001",NULL,NULL,"1.890000",NULL
1638,"FILTRO DE ACEITE MAZDA BT 50 CONVENIO USO","FILTRO DE ACEITE MAZDA BT 50 CONVENIO USO","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","3.360000","2.000000","2.000000","0.000000","0                   ","3.000000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"3.360000",NULL
1331,"KIT EMPAQUES CAT 4 N 145 UND","ARREGLO BOMBA DE INYECCION TRACTOR CATERPILLAR D6D","B",88,"S ",NULL,48,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","0.000000","0.000000","0.000000","0.000000","2457                ","0.000000","SD                                                ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"0.000000",NULL
1693,"FILTROS DE GASOLINA MOTOGUADAÑA","MANTENIMIENTO DE LAS MOTOGUADAÑAS DE PROPIEDAD MPAL.","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ",NULL,"I","4.995000","2.000000","2.000000","0.000000","0                   ","4.460000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"4.995000",NULL
1819,"BATERIA 15 PLACAS VOLQ. HINO GH NO. 02","REPUESTOS Y ACCESORIOS , PARA LA MAQUINARIA Y VEHÍCULOS DEL GADMCCH","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","151.200000","2.000000","2.000000","0.000000","0                   ","135.000000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"151.200000",NULL
2205,"BOMBA DE AGUA GASKET -PUMP-","REPUESTOS PARA MANTENIMIENTO DE TRACTOR D6K XL DE PROPIEDAD MUNICIPAL","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","T","30.520000","1.000000","1.000000","0.000000","No Aplica           ","30.520000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"30.520000",NULL
1375,"JUEGO RULIMANES RUEDA DELANTERA Y POSTERIOR","1176","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","0.000000","0.000000","0.000000","0.000000","1176                ","0.000000","SD                                                ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"0.000000",NULL
1352,"CRUCETA CON SUS RESPECTIVOS PERNOS","COMPRA DE REPUESTOS Y LUBRICANTES PARA LOS VEHICULOS Y MAQUINARIA DEL GADMCCH","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","0.000000","0.000000","0.000000","0.000000","1126                ","0.000000","SD                                                ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"0.000000",NULL
1107,"MANGUERA DE ABASTO DE 1/2","ADQUISICION DE MATERIALES DE CONSTRUCCION PARA UTILIZAR EN LOS MERCADOS Y PLAZAS","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","I","4.910000","0.000000","0.000000","0.000000","5321                ","0.000000","SD                                                ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"4.910000",NULL
1496,"FOCO DE MERCURIO ALOGENADO DE 250 A 220 V","FOCO DE MERCURIO ALOGENADO DE 250 A 220 V","B",87,"S ",NULL,NULL,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","I","22.400000","4.000000","4.000000","0.000000","0                   ","22.400000","0                                                 ",1,"0","631.54.01","N","0260000680001",NULL,NULL,"22.400000",NULL
1777,"CONECTOR EMT DE 1'","MATERIALES ELÉCTRICOS PARA LA ILUMINACIÓN DE LA IGLESIA MATRIZ DEL CANTÓN CHIMBO.","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","I","0.560000","4.000000","4.000000","0.000000","0                   ","0.500000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"0.560000",NULL
1923,"JUEGO DE SATÉLITES Y PLANETARIOS","JUEGO DE SATÉLITES Y PLANETARIOS","B",88,"S ","-                                                           ",1,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","873.600000","2.000000","2.000000","0.000000","xml-0               ","780.000000","-                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"873.600000",NULL
2165,"JOCKEY TIPO MILITAR","ROPA DE TRABAJO PARA EL PERSONAL DEL GADMCCH.","B",82,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.02.001                 ","-                             ","T","6.500000","5.000000","5.000000","0.000000","No Aplica           ","6.500000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"6.500000",NULL
2127,"RUEDA LOCA","REPUESTOS PARA  MINITRACTOR JD L106 LINEA INDUSTRIAL JOHN DEERE- S.A.","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","T","18.560000","1.000000","1.000000","0.000000","No Aplica           ","18.560000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"18.560000",NULL
1363,"JUEGO DE PASTILLAS DELANTERA","COMPRA DE REPUESTOS Y LUBRICANTES PARA LOS VEHICULOS Y MAQUINARIA DEL GADMCCH","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","0.000000","0.000000","0.000000","0.000000","1173                ","0.000000","SD                                                ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"0.000000",NULL
1299,"CABLE ELECTROMECANICA","ELECTROMECANICA","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","-","0.000000","0.000000","0.000000","0.000000","SD                  ","0.000000","SD                                                ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"0.000000",NULL
2059,"FILTRO DE AIRE PRIMARIO FURGON CHEVROLET","FILTRO DE AIRE PRIMARIO FURGON CHEVROLET","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","22.400000","3.000000","3.000000","0.000000","No Aplica           ","0.000000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"22.400000",NULL
2208,"BOMBA DE ALTA PRESION WASHER -SEALI.","REPUESTOS PARA MANTENIMIENTO DE TRACTOR D6K XL DE PROPIEDAD MUNICIPAL","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","T","5.930000","2.000000","2.000000","0.000000","No Aplica           ","5.930000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"5.930000",NULL
2238,".REPUESTOS PARA SISTEMA ELECTRICO HARNESS AS.","REPUESTOS PARA MANTENIMIENTO DE TRACTOR D6K XL DE PROPIEDAD MUNICIPAL","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","T","117.530000","3.000000","3.000000","0.000000","No Aplica           ","117.530000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"117.530000",NULL
1019,"ENGRANE DE QUINTA MARCHA EN FUERZA","ACCESORIOS VOLQUETA NISSAN TKC-212","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","392.000000","0.000000","0.000000","0.000000","5244                ","0.000000","SD                                                ",1,"1","631.54.01","N","0260000680001",NULL,NULL,"392.000000",NULL
2172,"FILTRO DE GASOLINA","ADQUISICION DE FILTROS - REPUESTOS Y ACEITE PARA LA CAMIONETA MAZDA BT 50 4X4","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","T","6.800000","1.000000","1.000000","0.000000","No Aplica           ","6.800000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"6.800000",NULL
2133,"PISTOLA DE FUMIGAR TIPO LANZA PARA LA BOMBA ESTACIONARIA DE FUMIGAR","REPUESTOS PARA LAS BOMBAS ESTACIONARIAS","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","T","10.710000","2.000000","2.000000","0.000000","No Aplica           ","10.710000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"10.710000",NULL
1873,"ACEITE 15W-40    MAZDA BT-50","PARA EL RESPECTIVO MANTENIMIENTO DEL VEHÍCULO MAZDA BT-50 PLACAS PCG-7313.","B",85,"S ",NULL,NULL,NULL,"Galon                                             ","N",2,"152.38.03.001                 ","-                             ","I","0.000000","0.000000","0.000000","0.000000","0                   ","0.000000","0                                                 ",1,"5","0","N","0260000680001",NULL,NULL,NULL,NULL
1010,"TREN FIJO","ACCESORIOS VOLQUETA NISSAN TKC-212","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","1030.400000","0.000000","0.000000","0.000000","5236                ","0.000000","SD                                                ",1,"1","631.54.01","N","0260000680001",NULL,NULL,"1030.400000",NULL
2266,"CROTO, ALTURA APROXIMADA ENTRE 70 CM.","PLANTAS HORNAMENTALES PARA SER COLOCADAS EN EL PARQUE CENTRAL Y EN LAS AVENIDAS DE NUESTRA CIUDAD.","B",97,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.46.15.001                 ","-                             ","T","4.000000","10.000000","10.000000","0.000000","No Aplica           ","4.000001","No Aplica                                         ",1,"3","152.46.15.001","N","0260000680001",NULL,NULL,"4.000000",NULL
1057,"LACA MIEL BRILLANTE","ARREGLO DEL PARQUE CENTRAL","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","I","6.900000","0.000000","0.000000","0.000000","5282                ","0.000000","SD                                                ",1,"1","631.54.01","N","0260000680001",NULL,NULL,"6.900000",NULL
1274,"ABRAZADERA DE 1/2","-","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","I","0.560000","4.000000","4.000000","0.000000","-                   ","0.560000","SD                                                ",1,"1","631.54.01","N","0260000680001",NULL,NULL,"0.560000",NULL
1683,"TUBOS DE ALCANTARILLA DE 300 X 6 M.","MATERIAL DE CONSTRUCCIÓN PARA LA AGENCIA DE REVISIÓN VEHÍCULAR DEL CANTÓN CHIMBO...","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","I","179.200000","7.000000","7.000000","0.000000","0                   ","160.000000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"179.200000",NULL
2271,"CASCAJO FUNDAS DE 40 KG.","PLANTAS HORNAMENTALES PARA SER COLOCADAS EN EL PARQUE CENTRAL Y EN LAS AVENIDAS DE NUESTRA CIUDAD.","B",97,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","T","3.000000","30.000000","30.000000","0.000000","No Aplica           ","3.000000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"3.000000",NULL
2288,"BOMBA DE ACEITE CAMION CREV. NHR","REPUESTOS Y ACCESORIOS PARA LA RECTIFICACION DEL CAMION CHEV. NHR DE PROPIEDAD MPAL.","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","T","145.000000","1.000000","1.000000","0.000000","No Aplica           ","145.000000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"145.000000",NULL
1756,"TABLERO DE CONTROL IP55 CON BARRA DE DISTRIBUCIÓN, PROTECCIONES, TEMPORALIZADORES, 6 CIRCUITOS CON PANTALLA HMI PIMCH.","MATERIALES ELÉCTRICOS PARA LA ILUMINACIÓN DE LA IGLESIA MATRIZ DEL CANTÓN CHIMBO.","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","I","1956.640000","1.000000","1.000000","0.000000","0                   ","1747.000000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"1956.640000",NULL
1813,"TERMOSTATO   TOYOTA PRADO","REPUESTOS Y ACCESORIOS, PARA LA MAQUINARIA Y VEHÍCULOS DEL GADMCCH.","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","42.560000","1.000000","1.000000","0.000000","0                   ","38.000000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"42.560000",NULL
1862,"FILTRO AIRE SECUNDARIO    VOLQ. NISSAN NO. 01","REPUESTOS Y ACCESORIOS PARA LA MAQUINARIA Y VEHÍCULOS DEL GADMCCH.","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","17.920000","1.000000","1.000000","0.000000","0                   ","16.000000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"17.920000",NULL
1060,"LIJA DE AGUA 180 FANDELI","ARREGLO DEL PARQUE CENTRAL","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","I","0.750000","0.000000","0.000000","0.000000","5285                ","0.000000","SD                                                ",1,"1","631.54.01","N","0260000680001",NULL,NULL,"0.750000",NULL
1575,"LAVAMANOS (INCLUIDO ACCESORIOS) CONSTRUIDO EN ACERO INOXIDABLE DE 2MM DE UN SOLO POSO CON LLAVE Y ACCESORIOS","LAVAMANOS (INCLUIDO ACCESORIOS) CONSTRUIDO EN ACERO INOXIDABLE DE 2MM DE UN SOLO POSO CON LLAVE Y ACCESORIOS","B",87,"S ",NULL,NULL,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","I","660.800000","1.000000","1.000000","0.000000","0                   ","590.000000","0                                                 ",1,"0","631.54.01","N","0260000680001",NULL,NULL,"660.800000",NULL
2251,"AMERICA SATINADO NEGRO LAVABLE","MATERIALES PARA PINTAR EL CEMENTERIO MUNIICPAL","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","T","80.355000","2.000000","2.000000","0.000000","No Aplica           ","80.355000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"80.355000",NULL
2007,"PLASTIGE     RECOLECTOR DINA","REPUESTOS PARA LA REPARACIÓN DEL MOTOR DEL RECOLECTOR DE BASURA DINA DE PROPIEDAD MUNICIPAL......","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","T","3.000000","2.000000","2.000000","0.000000","No Aplica           ","3.000000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"3.000000",NULL
1741,"CAJA DECXON CON INTERRUPTOR","MATERIALES PARA ILUMINAR EL HALL DE INGRESO AL GAD MUNICIPAL DEL CANTÓN CHIMBO","B",87,"S ",NULL,253,NULL,"Metros                                            ","N",2,"152.38.11.001                 ","-                             ","I","5.040000","1.000000","1.000000","0.000000","0                   ","4.500000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"5.040000",NULL
2138,"FOCOS ALTA POTENCIA 50W LED 6500K","COMPRA DE MATERIALES ELESTRICOS PARA LOS TALLERES  MUNICIPALES","B",87,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.11.001                 ","-                             ","T","12.000000","12.000000","12.000000","0.000000","No Aplica           ","12.000000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"12.000000",NULL
1798,"AUTOMÁTICO DEL ARRANQUE  MOTOBOMBA ISUZO","REPUESTOS Y ACCESORIOS, PARA LA MAQUINARIA Y VEHÍCULOS DEL GADMCCH.","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","53.760000","1.000000","1.000000","0.000000","0                   ","48.000000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"53.760000",NULL
2160,"PANTALON JEANS CON CINTA REFLECTIVA","ROPA DE TRABAJO PARA EL PERSONAL DEL GADMCCH.","B",82,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.02.001                 ","-                             ","T","14.500000","104.000000","104.000000","0.000000","No Aplica           ","14.500000","No Aplica                                         ",1,"3","631.54.01","N","0260000680001",NULL,NULL,"14.500000",NULL
1811,"RADIADOR   TOYOTA PRADO","REPUESTOS Y ACCESORIOS, PARA LA MAQUINARIA Y VEHÍCULOS DEL GADMCCH.","B",88,"S ",NULL,253,NULL,"Unidad                                            ","N",2,"152.38.13.001                 ","-                             ","I","476.000000","1.000000","1.000000","0.000000","0                   ","425.000000","0                                                 ",1,"5","631.54.01","N","0260000680001",NULL,NULL,"476.000000",NULL
